iter	RMSE
0	76833.396
1	76517.22472
2	76220.26703
3	75938.06287
4	75678.09199
5	75440.47308
6	75203.05092
7	74978.65028
8	74761.20021
9	74568.18876
10	74366.45395
11	74178.66583
12	74003.98819
13	73860.99978
14	73706.35103
15	73551.43381
16	73418.07054
17	73286.70632
18	73162.44931
19	73048.36851
20	72922.67812
21	72818.52719
22	72707.50058
23	72609.56166
24	72517.31252
25	72422.68034
26	72340.09585
27	72250.60189
28	72175.30248
29	72097.59514
30	72031.88511
31	71963.82084
32	71898.65639
33	71837.90359
34	71775.45437
35	71721.40622
36	71665.58585
37	71612.47625
38	71556.64467
39	71509.38491
40	71466.85378
41	71424.80427
42	71384.14153
43	71338.60367
44	71293.39013
45	71256.24231
46	71203.06939
47	71168.71867
48	71137.01913
49	71109.6472
50	71078.84319
51	71045.26712
52	71010.72424
53	70979.6719
54	70944.55875
55	70918.24585
56	70888.68131
57	70861.78507
58	70837.50292
59	70814.04911
60	70787.23297
61	70761.50137
62	70740.00739
63	70710.20954
64	70687.43876
65	70668.00027
66	70648.21748
67	70627.30457
68	70610.02915
69	70592.49631
70	70580.80485
71	70560.59991
72	70535.522
73	70514.63445
74	70499.53962
75	70482.48676
76	70467.00211
77	70453.09999
78	70434.39616
79	70414.29455
80	70399.48349
81	70383.66908
82	70366.23383
83	70347.25105
84	70332.42565
85	70317.25888
86	70301.56291
87	70288.97805
88	70278.75113
89	70266.59086
90	70253.29768
91	70246.25426
92	70221.53001
93	70208.11741
94	70188.95735
95	70178.8762
96	70163.47774
97	70154.19444
98	70147.05998
99	70135.59564
100	70122.35696
101	70118.21664
102	70107.58916
103	70094.98779
104	70088.66773
105	70088.60069
106	70076.87657
107	70076.75908
108	70073.73807
109	70062.59509
110	70056.78814
111	70049.05561
112	70045.05704
113	70044.75212
114	70032.79187
115	70024.02531
116	70012.25123
117	70011.99611
118	70006.77843
119	70003.09781
120	69989.08558
121	69980.15236
122	69979.50619
123	69979.18634
124	69971.76468
125	69958.70715
126	69958.68729
127	69958.67857
128	69958.51191
129	69955.25482
130	69950.15981
131	69948.05556
132	69943.41941
133	69943.40717
134	69943.26734
135	69943.1642
136	69929.9897
137	69928.35411
138	69923.68398
139	69916.92817
140	69916.92334
141	69913.10701
142	69913.03891
143	69906.94592
144	69906.85761
145	69906.65015
146	69906.53077
147	69902.40736
148	69897.59793
149	69897.58393
150	69897.57942
151	69897.49062
152	69897.45789
153	69897.26794
154	69896.42861
155	69893.31548
156	69892.1523
157	69883.65235
158	69876.75195
159	69876.59647
160	69869.72638
161	69869.36129
162	69869.15886
163	69866.54552
164	69866.31565
165	69865.47589
166	69865.39448
167	69859.59452
168	69859.57599
169	69856.53367
170	69856.51484
171	69845.47844
172	69845.42237
173	69840.85575
174	69840.84999
175	69835.45937
176	69835.28018
177	69833.16865
178	69830.05319
179	69824.69825
180	69822.06021
181	69821.70751
182	69820.00774
183	69817.31392
184	69812.35507
185	69810.48186
186	69810.43937
187	69805.85235
188	69796.91554
189	69791.13568
190	69787.64682
191	69785.7625
192	69785.68822
193	69784.75785
194	69784.629
195	69771.49388
196	69770.66347
197	69755.01558
198	69749.90691
199	69749.76154
200	69730.54965
201	69728.73254
202	69722.2975
203	69721.72607
204	69721.72019
205	69716.52122
206	69715.92842
207	69709.57183
208	69703.26742
209	69702.97258
210	69702.20663
211	69699.67058
212	69699.48415
213	69699.32317
214	69698.96786
215	69698.79046
216	69696.56947
217	69690.43299
218	69690.39964
219	69689.12388
220	69687.16037
221	69687.0108
222	69686.89551
223	69685.28902
224	69685.28858
225	69685.18653
226	69681.15832
227	69680.5824
228	69677.313
229	69677.31103
230	69671.84106
231	69668.12226
232	69668.10543
233	69667.89587
234	69664.05768
235	69660.94585
236	69660.9443
237	69660.71286
238	69660.71266
239	69653.22995
240	69653.18189
241	69648.4755
242	69648.47413
243	69644.79624
244	69639.45687
245	69639.23847
246	69634.98095
247	69634.83162
248	69634.78118
249	69619.70111
250	69619.70086
251	69619.53695
252	69612.01407
253	69608.26247
254	69604.16622
255	69598.56429
256	69593.7522
257	69593.75175
258	69591.97101
259	69586.93034
260	69586.87778
261	69575.23842
262	69567.65767
263	69565.63434
264	69559.70247
265	69559.67263
266	69559.65839
267	69554.46048
268	69551.40001
269	69546.77952
270	69546.70023
271	69543.20229
272	69543.04554
273	69539.10997
274	69537.31166
275	69536.32459
276	69536.32359
277	69534.90716
278	69532.32042
279	69528.90181
280	69528.7964
281	69528.76153
282	69528.75552
283	69523.06286
284	69523.03697
285	69514.79383
286	69513.16656
287	69505.04219
288	69500.47484
289	69499.57726
290	69496.49757
291	69495.15243
292	69491.1673
293	69491.13174
294	69491.13053
295	69491.12355
296	69478.85814
297	69478.64296
298	69476.07459
299	69476.05175
300	69472.49227
301	69465.13623
302	69465.11078
303	69464.68877
304	69464.68734
305	69460.87596
306	69459.85323
307	69459.10107
308	69448.1734
309	69448.01375
310	69447.99248
311	69437.81891
312	69434.13177
313	69424.76751
314	69424.7661
315	69424.74644
316	69414.9624
317	69414.93519
318	69414.10135
319	69406.3175
320	69406.08431
321	69400.10708
322	69396.25534
323	69392.5005
324	69388.00361
325	69384.18246
326	69381.52414
327	69372.16531
328	69371.99415
329	69371.98251
330	69367.1264
331	69358.17882
332	69346.74469
333	69343.9039
334	69343.882
335	69343.48903
336	69337.87336
337	69333.63544
338	69330.66119
339	69320.82401
340	69313.28023
341	69313.27541
342	69313.22176
343	69312.22968
344	69312.20861
345	69307.05038
346	69307.03574
347	69299.0537
348	69296.86632
349	69296.82657
350	69293.90573
351	69293.90275
352	69293.88944
353	69293.75014
354	69286.91468
355	69286.9013
356	69286.88905
357	69278.1486
358	69274.43606
359	69271.44594
360	69270.63361
361	69268.62127
362	69268.61705
363	69264.82532
364	69264.82312
365	69264.79057
366	69260.573
367	69259.54088
368	69254.79303
369	69254.74294
370	69253.49048
371	69248.93756
372	69248.93311
373	69240.94596
374	69240.68908
375	69240.68856
376	69238.57368
377	69236.89307
378	69236.88359
379	69236.18914
380	69235.78143
381	69231.90771
382	69231.27802
383	69231.2723
384	69231.26641
385	69225.43047
386	69224.95501
387	69224.9494
388	69224.87051
389	69223.58952
390	69222.36979
391	69220.90166
392	69215.27331
393	69214.06775
394	69214.06247
395	69211.5993
396	69211.59428
397	69207.70304
398	69197.77142
399	69197.76912
400	69197.76427
401	69190.85444
402	69190.61679
403	69184.64798
404	69182.60778
405	69170.38019
406	69166.88749
407	69166.83087
408	69166.36286
409	69158.02203
410	69158.01825
411	69156.2321
412	69152.51365
413	69150.15935
414	69147.73058
415	69147.72678
416	69147.52193
417	69145.85717
418	69141.65075
419	69141.46567
420	69139.72252
421	69139.70535
422	69138.2652
423	69138.25835
424	69138.20815
425	69138.2044
426	69138.1693
427	69138.1571
428	69138.12829
429	69135.20413
430	69133.31957
431	69126.56392
432	69125.92965
433	69123.75452
434	69122.39368
435	69118.84772
436	69118.84545
437	69118.39188
438	69107.89665
439	69107.78784
440	69106.39872
441	69105.16811
442	69103.85664
443	69103.85521
444	69103.82054
445	69102.78757
446	69099.21615
447	69095.44694
448	69092.51515
449	69091.81154
450	69090.8089
451	69090.32919
452	69083.89609
453	69080.79816
454	69080.24581
455	69075.47661
456	69072.54507
457	69064.09389
458	69064.09226
459	69063.9067
460	69060.48267
461	69060.46718
462	69057.62331
463	69056.64086
464	69055.24322
465	69046.49509
466	69045.35149
467	69045.33156
468	69041.49778
469	69041.49263
470	69039.7521
471	69039.70608
472	69034.98112
473	69031.62531
474	69030.66642
475	69030.61133
476	69029.64387
477	69027.17604
478	69026.25688
479	69025.33273
480	69017.49625
481	69016.74281
482	69016.45699
483	69010.12015
484	69006.96734
485	69006.9657
486	69005.8457
487	69002.9378
488	69002.75893
489	68992.35282
490	68988.1397
491	68988.00873
492	68985.69787
493	68984.5559
494	68981.37072
495	68981.21061
496	68979.15739
497	68976.17387
498	68975.78839
499	68972.85849
500	68971.59841
501	68970.60821
502	68970.06309
503	68970.06041
504	68968.48435
505	68968.30002
506	68965.44809
507	68964.86424
508	68963.70252
509	68961.86046
510	68957.28969
511	68955.84025
512	68949.66073
513	68947.65826
514	68937.92248
515	68937.88201
516	68937.87981
517	68937.85765
518	68935.45418
519	68931.33314
520	68929.87414
521	68928.95462
522	68925.49494
523	68924.59718
524	68923.9646
