iter	Passed	Remaining
0	427	421461
1	921	453209
2	1361	445985
3	1762	432664
4	2189	429655
5	2704	441724
6	3231	451969
7	3719	454729
8	4137	449172
9	4677	456501
10	5183	459438
11	5630	456990
12	6049	452816
13	6282	436214
14	6749	436936
15	7282	441475
16	7762	442437
17	8189	440396
18	8648	440138
19	9110	440056
20	9618	442005
21	10107	442901
22	10583	443136
23	11001	440961
24	11429	439368
25	11912	439842
26	12395	440265
27	12824	438776
28	13335	440060
29	13761	438548
30	14245	438862
31	14812	441598
32	15265	440862
33	15764	441397
34	16181	439687
35	16625	438718
36	17102	438647
37	17609	439298
38	18101	439535
39	18489	437285
40	18913	435931
41	19408	436224
42	19967	437888
43	20481	438492
44	20926	437588
45	21360	436502
46	21784	435224
47	22153	432920
48	22611	432389
49	23028	431084
50	23517	431149
51	24009	431247
52	24517	431607
53	25062	432557
54	25578	432974
55	26091	433301
56	26591	433389
57	27069	433104
58	27535	432638
59	28021	432460
60	28564	433146
61	29076	433334
62	29560	433083
63	30112	433810
64	30653	434338
65	31139	434064
66	31674	434454
67	32168	434269
68	32678	434298
69	33126	433487
70	33652	433689
71	34105	432947
72	34616	432937
73	35164	433379
74	35752	434277
75	36272	434311
76	36769	434069
77	37274	433915
78	37782	433778
79	38214	432779
80	38742	432863
81	39258	432796
82	39798	432984
83	40253	432248
84	40768	432150
85	41280	432005
86	41807	432012
87	42304	431693
88	42843	431799
89	43369	431763
90	43822	431000
91	44347	430945
92	44842	430583
93	45413	430945
94	45926	430739
95	46444	430582
96	46858	429458
97	47359	429139
98	47854	428758
99	48301	427949
100	48714	426857
101	49244	426782
102	49793	426866
103	50308	426652
104	50847	426633
105	50978	423213
106	51485	422954
107	51541	419010
108	52216	420126
109	52787	420382
110	53311	420251
111	53875	420419
112	54353	419913
113	54529	417100
114	55010	416642
115	55601	417012
116	56071	416466
117	56486	415514
118	56930	414776
119	57356	413925
120	57891	413853
121	58378	413437
122	58619	411288
123	58848	409091
124	59341	408744
125	59811	408234
126	59880	405016
127	59954	401883
128	60035	398843
129	60514	398463
130	61063	398541
131	61542	398159
132	62034	397862
133	62130	395036
134	62220	392220
135	62285	389281
136	62796	389157
137	63339	389217
138	63856	389108
139	64393	389119
140	64578	387011
141	64973	386182
142	65167	384166
143	65700	384165
144	65786	381562
145	65969	379548
146	66015	376780
147	66555	376850
148	67042	376606
149	67233	374712
150	67298	372148
151	67360	369596
152	67544	367744
153	67780	366191
154	68333	366353
155	68834	366235
156	68959	364122
157	69492	364175
158	70053	364365
159	70293	362889
160	70837	362987
161	71199	362150
162	71441	360714
163	71921	360483
164	72230	359401
165	72518	358222
166	72656	356319
167	73131	356080
168	73222	353983
169	73738	353945
170	73927	352345
171	74410	352153
172	74736	351216
173	75268	351251
174	75391	349385
175	75992	349738
176	76251	348518
177	76793	348592
178	77276	348391
179	77724	348033
180	78222	347896
181	78544	346977
182	79088	347039
183	79607	346984
184	80082	346733
185	80617	346739
186	80691	344772
187	81327	345209
188	81796	344930
189	82311	344840
190	82810	344681
191	83342	344654
192	83439	342837
193	83950	342727
194	84110	341187
195	84583	340921
196	85014	340489
197	85455	340096
198	85984	340050
199	86134	338509
200	86655	338429
201	87143	338219
202	87710	338313
203	88040	337486
204	88115	335697
205	88559	335321
206	88929	334666
207	89469	334649
208	89998	334587
209	90224	333399
210	90765	333379
211	91278	333254
212	91483	332002
213	91596	330431
214	91694	328822
215	91961	327825
216	92525	327888
217	93042	327782
218	93121	326138
219	93634	326018
220	94005	325402
221	94191	324153
222	94384	322940
223	94859	322692
224	94940	321110
225	95133	319919
226	95561	319520
227	96099	319490
228	96643	319473
229	96746	318001
230	97210	317721
231	97706	317544
232	97799	316063
233	98116	315314
234	98650	315260
235	99143	315073
236	99268	313722
237	99382	312346
238	99432	310778
239	99899	310521
240	100031	309226
241	100554	309142
242	100625	307673
243	101150	307596
244	101760	307773
245	101953	306688
246	102457	306543
247	102717	305668
248	102796	304259
249	103282	304064
250	103347	302631
251	103647	301893
252	104221	301953
253	104736	301840
254	105324	301930
255	105816	301741
256	106330	301615
257	106423	300296
258	106908	300085
259	107295	299601
260	107437	298438
261	107915	298208
262	108445	298122
263	108967	298010
264	109452	297793
265	109577	296601
266	109697	295401
267	110196	295226
268	110676	294998
269	111177	294826
270	111282	293604
271	111855	293621
272	112191	293011
273	112747	292978
274	113263	292838
275	113507	291994
276	113580	290717
277	113953	290212
278	114455	290036
279	114935	289802
280	115104	288786
281	115231	287668
282	115300	286417
283	115848	286358
284	115953	285204
285	116402	284900
286	116816	284512
287	117376	284474
288	117885	284311
289	118256	283815
290	118734	283576
291	119032	282905
292	119552	282763
293	119693	281727
294	119763	280530
295	119846	279372
296	120366	279232
297	120532	278275
298	121030	278087
299	121117	276955
300	121586	276701
301	122148	276653
302	122232	275528
303	122558	274950
304	122631	273811
305	123148	273663
306	123437	273009
307	123804	272531
308	124323	272385
309	124610	271731
310	124664	270573
311	125225	270518
312	125699	270274
313	126205	270096
314	126295	269029
315	126361	267918
316	126837	267679
317	126940	266654
318	127252	266072
319	127766	265914
320	128060	265295
321	128524	265031
322	129083	264961
323	129587	264773
324	130048	264498
325	130551	264306
326	130932	263866
327	131435	263672
328	131573	262747
329	131711	261826
330	132328	261859
331	132850	261699
332	133370	261534
333	133884	261356
334	133955	260314
335	134217	259646
336	134747	259498
337	135255	259306
338	135749	259085
339	136282	258937
340	136774	258709
341	136871	257734
342	137068	256953
343	137232	256113
344	137341	255175
345	137863	255007
346	137966	254065
347	138465	253853
348	138940	253597
349	139062	252695
350	139516	252401
351	139583	251408
352	139628	250382
353	139826	249634
354	140321	249417
355	140366	248401
356	140413	247395
357	140910	247183
358	141480	247098
359	141800	246574
360	142109	246033
361	142549	245720
362	142692	244896
363	143141	244598
364	143218	243667
365	143325	242792
366	143871	242661
367	144385	242473
368	144899	242285
369	145034	241462
370	145526	241237
371	146070	241095
372	146198	240268
373	146662	239993
374	147206	239848
375	147307	238982
376	147858	238849
377	148314	238558
378	148448	237753
